"ID","SimilarityMetric","Label1","evaluationMode","Label2","FingerprintRadius","Label3","similarityThreshold","Label4","BA","sdBA","Label5","F1","sdF1","Label6","MCC","sdMCC","Label7","nFound","sdnFound","Label8","nNotFound","sdnNotFound"
"202","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.55,"ba:",0.88624,0.01779,"f1:",0.96491,0.00267,"mcc",0.69275,0.02692,"found:",999,3.69,"notFound",13,3.49
"188","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.6,"ba:",0.88798,0.01773,"f1:",0.96523,0.00268,"mcc",0.69806,0.02693,"found:",981,6.2,"notFound",30,5.96
"178","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.7,"ba:",0.81769,0.02138,"f1:",0.95264,0.00771,"mcc",0.70837,0.02868,"found:",833,16.27,"notFound",179,15.94
"179","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.65,"ba:",0.89325,0.01532,"f1:",0.96544,0.00247,"mcc",0.7088,0.02583,"found:",938,10.84,"notFound",73,10.74
"206","TverskySimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.45,"ba:",0.81146,0.01508,"f1:",0.95274,0.00576,"mcc",0.71151,0.01879,"found:",878,14.23,"notFound",133,13.63
"130","DiceSimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.45,"ba:",0.80426,0.01373,"f1:",0.94912,0.00601,"mcc",0.71396,0.02184,"found:",814,7.96,"notFound",198,7.93
"197","TverskySimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.55,"ba:",0.81959,0.01707,"f1:",0.95456,0.00577,"mcc",0.71675,0.02381,"found:",855,11.78,"notFound",156,11.34
"186","DiceSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.4,"ba:",0.85316,0.01898,"f1:",0.96438,0.00453,"mcc",0.71976,0.03485,"found:",1009,1.62,"notFound",2,1.11
"138","DiceSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.5,"ba:",0.85308,0.01932,"f1:",0.96415,0.00454,"mcc",0.71984,0.0345,"found:",1004,2.49,"notFound",8,1.95
"219","DiceSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.3,"ba:",0.85313,0.01949,"f1:",0.96443,0.00462,"mcc",0.72008,0.03483,"found:",1011,1.55,"notFound",1,0.46
