Type I vs Type II

Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Dice_proba_2_0.9% 	 0.68506 	 0.01722 	 0.80849 	 0.01648 	 0.43146 	 0.03836 	 0.45 
Dice_proba_3_0.9% 	 0.7114 	 0.00736 	 0.83323 	 0.00659 	 0.48918 	 0.01699 	 0.4 
Tversky_proba_1_0.9% 	 0.66288 	 0.01472 	 0.78582 	 0.01887 	 0.38117 	 0.03226 	 0.65 
Tversky_proba_2_0.9% 	 0.69181 	 0.01445 	 0.8198 	 0.01559 	 0.44218 	 0.02998 	 0.5 
Tversky_proba_3_0.9% 	 0.66907 	 0.01266 	 0.78682 	 0.01837 	 0.3986 	 0.02769 	 0.4 
Tanimoto_proba_1_0.8% 	 0.75263 	 0.01117 	 0.86916 	 0.00843 	 0.56955 	 0.02214 	 0.5 
Tanimoto_proba_2_0.8% 	 0.74076 	 0.00601 	 0.86437 	 0.00409 	 0.54214 	 0.01018 	 0.35 
Tanimoto_proba_3_0.8% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_proba_1_0.8% 	 0.74854 	 0.01307 	 0.86853 	 0.01037 	 0.55686 	 0.02513 	 0.65 
Dice_proba_2_0.8% 	 0.7309 	 0.00946 	 0.85539 	 0.00763 	 0.52103 	 0.01918 	 0.5 
Dice_proba_3_0.8% 	 0.76428 	 0.01299 	 0.88158 	 0.01208 	 0.59146 	 0.0248 	 0.45 
Tversky_proba_1_0.8% 	 0.69192 	 0.01268 	 0.8236 	 0.01447 	 0.44377 	 0.0255 	 0.7 
Tversky_proba_2_0.8% 	 0.71659 	 0.01189 	 0.83753 	 0.01324 	 0.49928 	 0.02467 	 0.55 
Tversky_proba_3_0.8% 	 0.70958 	 0.01669 	 0.83379 	 0.01429 	 0.47989 	 0.03557 	 0.45 
Tanimoto_proba_1_0.5% 	 0.85407 	 0.02191 	 0.93382 	 0.01012 	 0.74363 	 0.03303 	 0.6 
Tanimoto_proba_2_0.5% 	 0.85579 	 0.00926 	 0.93293 	 0.00483 	 0.75333 	 0.01808 	 0.45 
Tanimoto_proba_3_0.5% 	 0.869 	 0.00926 	 0.93892 	 0.00537 	 0.77357 	 0.01435 	 0.4 
Dice_proba_1_0.5% 	 0.86098 	 0.01414 	 0.93516 	 0.00581 	 0.75602 	 0.02147 	 0.75 
Dice_proba_2_0.5% 	 0.86934 	 0.01756 	 0.93805 	 0.00953 	 0.76705 	 0.03176 	 0.65 
Dice_proba_3_0.5% 	 0.85612 	 0.01058 	 0.93384 	 0.00569 	 0.75296 	 0.01172 	 0.55 
Tversky_proba_1_0.5% 	 0.73713 	 0.01558 	 0.86379 	 0.01119 	 0.52516 	 0.02907 	 0.75 
Tversky_proba_2_0.5% 	 0.82341 	 0.01148 	 0.91631 	 0.00572 	 0.69166 	 0.01952 	 0.65 
Tversky_proba_3_0.5% 	 0.85396 	 0.0138 	 0.92837 	 0.00741 	 0.74414 	 0.02052 	 0.6 

